provider,model,papers_evaluated,papers_missing,null_results,entry_score,detection_precision,detection_recall,detection_f1,work_cer_matched_only_rescored,perfect_entry_rate,numbers_precision,numbers_recall,numbers_f1,numbers_coverage,entry_exact_rate,abstain_total,abstain_correct,abstain_missed,work_cer_rescored,work_cer,work_cer_matched_only,concat_cer_rescored,concat_cer,work_sub,work_del,work_ins,overall_anls,overall_cer,overall_cer_rescored,pairs,potential_merges,missed_gt,extra_pred,attempts,input_tokens,output_tokens,elapsed_seconds,cost_usd,cost_usd_per_paper
claude,claude-fable-5,30,0,0,0.9812,1.0,1.0,1.0,2.01,0.825,0.9941,0.9941,0.9941,1.0,0.9938,0,0,0,2.01,2.22,2.22,2.01,2.22,32,19,22,0.9859,1.19,1.05,160,0,0,0,30,285600,28798,559.02,4.2959,0.1432
claude,claude-opus-5,30,0,0,0.9508,1.0,0.9812,0.9905,3.71,0.725,0.9763,0.9763,0.9763,1.0,0.9809,0,0,0,4.53,4.77,3.95,2.83,3.07,67,34,56,0.9839,1.48,1.34,157,1,3,0,30,285600,9558,288.95,1.667,0.05557
chatgpt,gpt-5.5,30,0,0,0.9111,0.9936,0.975,0.9842,7.21,0.5875,0.9702,0.9645,0.9674,1.0,0.9808,0,0,0,7.72,7.93,7.42,7.66,7.87,142,58,61,0.9733,3.02,2.88,156,0,4,1,30,465210,37212,669.56,3.4424,0.11475
gemini,gemini-3.6-flash,30,0,0,0.9016,0.974,0.9375,0.9554,7.13,0.6438,0.9693,0.9349,0.9518,1.0,0.9933,0,0,0,10.82,11.37,7.69,5.99,6.53,86,140,148,0.977,2.04,1.9,150,4,10,4,30,107160,59244,361.73,0.6051,0.02017
gemini,gemini-3.1-pro-preview,30,0,0,0.898,0.9677,0.9375,0.9524,3.1,0.6875,0.9688,0.9172,0.9422,1.0,0.9933,0,0,0,3.34,3.71,3.47,3.19,3.56,61,34,27,0.9704,2.53,2.32,150,0,10,5,30,107160,8055,787.79,0.311,0.01037
gemini,gemini-3.5-flash,30,0,0,0.8841,0.9868,0.9313,0.9582,5.13,0.6312,0.9811,0.9231,0.9512,0.9934,0.9866,1,0,1,7.29,7.87,5.72,5.02,5.59,65,97,97,0.9639,3.02,2.74,149,3,11,2,30,107160,48190,643.88,0.5944,0.01981
claude,claude-opus-4-8,30,0,0,0.8812,1.0,0.9062,0.9508,3.25,0.6625,0.9745,0.9053,0.9387,1.0,0.9793,0,0,0,14.89,15.11,3.49,14.35,14.56,64,407,26,0.9474,30.78,30.64,145,1,15,0,30,285600,8459,231.42,1.6395,0.05465
claude,claude-sonnet-5,30,0,0,0.87,0.9933,0.925,0.9579,5.45,0.5563,0.9565,0.9112,0.9333,0.9933,0.9662,1,0,1,6.17,6.41,5.69,4.83,5.08,108,54,49,0.938,5.34,5.2,148,2,12,1,30,285600,20202,399.12,1.1598,0.03866
gemini,gemini-3.1-flash-lite,30,0,0,0.855,0.9868,0.9375,0.9615,7.25,0.5563,0.9512,0.9231,0.9369,0.9868,0.9667,2,0,2,8.21,8.57,7.62,6.38,6.75,99,115,68,0.9389,4.57,4.43,150,3,10,2,30,107160,7387,128.49,0.0379,0.00126
chatgpt,gpt-5.6-sol,30,0,0,0.8476,0.9932,0.9062,0.9477,7.74,0.5375,0.9673,0.8757,0.9193,1.0,0.9793,0,0,0,9.51,9.76,7.99,7.14,7.39,112,119,90,0.9387,5.76,5.62,145,2,15,1,30,532170,29771,512.26,3.554,0.11847
claude,claude-opus-4-6,30,0,0,0.8386,0.975,0.975,0.975,14.92,0.4625,0.9527,0.9527,0.9527,0.9938,0.9679,1,0,1,16.2,16.44,15.16,14.38,14.62,327,107,107,0.934,6.47,6.25,156,3,4,4,30,183510,7632,315.79,1.1084,0.03695
gemini,gemini-3.5-flash-lite,30,0,0,0.8143,0.973,0.9,0.9351,8.89,0.4625,0.9371,0.8817,0.9085,0.9865,0.9444,2,0,2,16.35,16.87,9.45,11.25,11.76,115,293,147,0.8913,13.91,13.77,144,6,16,4,30,107160,7712,179.18,0.0514,0.00171
chatgpt,gpt-5.4-mini,30,0,0,0.6949,0.9133,0.8562,0.8839,19.69,0.3187,0.8854,0.8225,0.8528,1.0,0.9635,0,0,0,35.26,35.47,19.93,25.56,25.78,333,554,280,0.8685,23.47,23.19,137,5,23,13,30,197400,6155,112.56,0.1757,0.00586
chatgpt,gpt-5.6-terra,30,0,0,0.6616,0.9252,0.85,0.886,23.45,0.2562,0.9167,0.8462,0.88,1.0,0.9926,0,0,0,35.53,35.71,23.65,25.96,26.14,352,501,322,0.7962,21.57,21.36,136,7,24,11,30,532170,23232,301.54,1.6789,0.05596
chatgpt,gpt-5.6-luna,30,0,0,0.6392,0.9718,0.8625,0.9139,22.8,0.2562,0.9272,0.8284,0.875,0.993,0.942,1,0,1,28.84,29.36,23.35,22.8,23.43,347,347,272,0.7399,24.88,24.39,138,4,22,4,30,532170,48188,444.61,0.8213,0.02738
claude,claude-haiku-4-5,30,0,0,0.2495,0.6903,0.4875,0.5714,46.14,0.0625,0.5407,0.432,0.4803,0.9912,0.859,1,0,0,95.59,95.74,46.45,66.81,66.96,467,1801,882,0.4468,70.84,70.84,78,3,82,35,30,183480,6930,158.02,0.2181,0.00727
chatgpt,gpt-5.4-nano,30,0,0,0.2052,0.5031,0.5062,0.5047,47.63,0.0437,0.4129,0.3787,0.3951,0.8882,0.7407,18,0,8,122.01,122.04,47.69,79.03,79.09,467,1777,1771,0.3266,65.07,64.79,81,2,79,80,30,197400,6423,130.93,0.0475,0.00158
